month,partner_id,partner_name,product_id,product_name,product_type,province,number_of_claims,paid_claims,declined_claims,under_investigation_claims,total_claim_amount,claims_paid_amount,average_claim_amount,claim_approval_rate_pct,claim_payout_rate_pct
2025-08-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Limpopo,1,0,1,0,39667.28,0.0,39667.28,0.0,0.0
2025-08-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Gauteng,1,1,0,0,50521.89,50521.89,50521.89,100.0,100.0
2025-08-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Gauteng,1,1,0,0,45559.46,45559.46,45559.46,100.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,North West,1,1,0,0,88578.86,88578.86,88578.86,100.0,100.0
2025-08-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Gauteng,1,1,0,0,60374.83,60374.83,60374.83,100.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,1,1,0,0,21452.41,21452.41,21452.41,100.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,2,2,0,0,48795.16,48795.16,24397.58,100.0,100.0
2025-09-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,1,1,0,0,25120.26,25120.26,25120.26,100.0,100.0
2025-09-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Gauteng,1,1,0,0,80142.68,80142.68,80142.68,100.0,100.0
2025-09-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Western Cape,1,0,1,0,105699.35,0.0,105699.35,0.0,0.0
2025-09-01,PART005,Nala Mobility Finance,PRD010,Vehicle Disability Cover,Disability,Gauteng,1,1,0,0,91380.4,91380.4,91380.4,100.0,100.0
2025-10-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Eastern Cape,1,1,0,0,22584.6,22584.6,22584.6,100.0,100.0
2025-10-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,1,1,0,0,9879.53,9879.53,9879.53,100.0,100.0
2025-10-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,1,1,0,0,29300.43,29300.43,29300.43,100.0,100.0
2025-10-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Western Cape,1,0,1,0,21072.49,0.0,21072.49,0.0,0.0
2025-10-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Gauteng,1,1,0,0,9109.82,9109.82,9109.82,100.0,100.0
2025-10-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Eastern Cape,1,1,0,0,77558.72,77558.72,77558.72,100.0,100.0
2025-10-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Limpopo,1,1,0,0,36317.81,36317.81,36317.81,100.0,100.0
2025-10-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Gauteng,1,1,0,0,93745.74,93745.74,93745.74,100.0,100.0
2025-10-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Limpopo,1,1,0,0,65854.46,65854.46,65854.46,100.0,100.0
2025-10-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Mpumalanga,1,1,0,0,36007.35,36007.35,36007.35,100.0,100.0
2025-10-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,KwaZulu-Natal,2,2,0,0,54336.09,54336.09,27168.04,100.0,100.0
2025-10-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,Mpumalanga,1,1,0,0,51713.82,51713.82,51713.82,100.0,100.0
2025-10-01,PART004,Khula Bank,PRD008,Bank Funeral,Funeral,North West,1,1,0,0,33586.64,33586.64,33586.64,100.0,100.0
2025-10-01,PART005,Nala Mobility Finance,PRD009,Vehicle Credit Protect,Credit Life,Gauteng,1,1,0,0,113319.32,113319.32,113319.32,100.0,100.0
2025-11-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Free State,1,0,1,0,50003.45,0.0,50003.45,0.0,0.0
2025-11-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,1,1,0,0,39016.37,39016.37,39016.37,100.0,100.0
2025-11-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,1,1,0,0,15409.45,15409.45,15409.45,100.0,100.0
2025-11-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Mpumalanga,2,2,0,0,76658.01,76658.01,38329.01,100.0,100.0
2025-11-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,1,0,0,1,59659.12,0.0,59659.12,0.0,0.0
2025-11-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,KwaZulu-Natal,1,1,0,0,45089.04,45089.04,45089.04,100.0,100.0
2025-11-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,KwaZulu-Natal,1,1,0,0,69560.45,69560.45,69560.45,100.0,100.0
2025-11-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,KwaZulu-Natal,2,1,1,0,64742.06,18158.91,32371.03,50.0,28.05
2025-11-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Limpopo,1,0,1,0,16955.79,0.0,16955.79,0.0,0.0
2025-11-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Mpumalanga,3,3,0,0,88672.18,88672.18,29557.39,100.0,100.0
