month,partner_id,partner_name,product_id,product_name,product_type,province,total_policies,active_policies,lapsed_policies,cancelled_policies,total_cover_amount,average_cover_amount,total_monthly_premium,average_monthly_premium,active_policy_pct,lapsed_policy_pct,cancelled_policy_pct
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Eastern Cape,1,0,1,0,50800.0,50800.0,243.84,243.84,0.0,100.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,5,5,0,0,256400.0,51280.0,1230.72,246.14,100.0,0.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,8,7,1,0,382500.0,47812.5,1836.0,229.5,87.5,12.5,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Limpopo,5,3,2,0,226800.0,45360.0,1088.64,217.73,60.0,40.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Mpumalanga,1,1,0,0,21200.0,21200.0,101.76,101.76,100.0,0.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,North West,1,1,0,0,34400.0,34400.0,165.12,165.12,100.0,0.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,4,3,1,0,197400.0,49350.0,947.52,236.88,75.0,25.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Eastern Cape,1,0,1,0,127900.0,127900.0,792.98,792.98,0.0,100.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,8,6,2,0,936400.0,117050.0,5805.68,725.71,75.0,25.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,KwaZulu-Natal,4,4,0,0,399100.0,99775.0,2474.42,618.6,100.0,0.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Limpopo,1,1,0,0,123300.0,123300.0,764.46,764.46,100.0,0.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,North West,2,1,1,0,199600.0,99800.0,1237.52,618.76,50.0,50.0,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Western Cape,7,5,2,0,665800.0,95114.29,4127.96,589.71,71.43,28.57,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Eastern Cape,2,1,1,0,50000.0,25000.0,89.0,44.5,50.0,50.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Free State,2,2,0,0,100000.0,50000.0,178.0,89.0,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Gauteng,10,9,1,0,825000.0,82500.0,1468.5,146.85,90.0,10.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,KwaZulu-Natal,5,4,1,0,375000.0,75000.0,667.5,133.5,80.0,20.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Mpumalanga,2,2,0,0,50000.0,25000.0,89.0,44.5,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Western Cape,8,5,1,2,475000.0,59375.0,845.5,105.69,62.5,12.5,25.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Eastern Cape,1,1,0,0,50000.0,50000.0,74.5,74.5,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Free State,3,3,0,0,225000.0,75000.0,335.25,111.75,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Gauteng,11,11,0,0,600000.0,54545.45,894.0,81.27,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,KwaZulu-Natal,4,3,1,0,225000.0,56250.0,335.25,83.81,75.0,25.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Limpopo,1,1,0,0,25000.0,25000.0,37.25,37.25,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Mpumalanga,2,0,1,1,125000.0,62500.0,186.25,93.12,0.0,50.0,50.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,North West,2,2,0,0,50000.0,25000.0,74.5,37.25,100.0,0.0,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Western Cape,2,2,0,0,100000.0,50000.0,149.0,74.5,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Eastern Cape,3,2,1,0,190800.0,63600.0,1049.4,349.8,66.67,33.33,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Gauteng,14,12,2,0,895000.0,63928.57,4922.5,351.61,85.71,14.29,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,KwaZulu-Natal,1,1,0,0,42400.0,42400.0,233.2,233.2,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Limpopo,2,2,0,0,177900.0,88950.0,978.45,489.22,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Mpumalanga,1,1,0,0,48700.0,48700.0,267.85,267.85,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,North West,1,0,1,0,87500.0,87500.0,481.25,481.25,0.0,100.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Western Cape,1,1,0,0,52300.0,52300.0,287.65,287.65,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Eastern Cape,2,2,0,0,312000.0,156000.0,2059.2,1029.6,100.0,0.0,0.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Free State,2,2,0,0,286400.0,143200.0,1890.24,945.12,100.0,0.0,0.0
