month,partner_id,partner_name,product_id,product_name,product_type,province,premium_transactions,paid_transactions,failed_transactions,partial_transactions,total_premium_due,total_premium_collected,outstanding_premium,collection_rate_pct
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Eastern Cape,1,1,0,0,243.84,243.84,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Gauteng,5,5,0,0,1230.72,1230.72,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,KwaZulu-Natal,8,7,1,0,1836.0,1583.04,252.96,86.22
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Limpopo,5,5,0,0,1088.64,1088.64,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Mpumalanga,1,1,0,0,101.76,101.76,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,North West,1,1,0,0,165.12,165.12,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD001,Credit Life Basic,Credit Life,Western Cape,4,4,0,0,947.52,947.52,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Eastern Cape,1,0,1,0,792.98,0.0,792.98,0.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Gauteng,8,7,0,1,5805.68,5590.07,215.61,96.29
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,KwaZulu-Natal,4,4,0,0,2474.42,2474.42,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Limpopo,1,1,0,0,764.46,764.46,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,North West,2,2,0,0,1237.52,1237.52,0.0,100.0
2025-07-01,PART001,Ubuntu Credit,PRD002,Credit Life Plus,Credit Life,Western Cape,7,7,0,0,4127.96,4127.96,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Eastern Cape,2,2,0,0,89.0,89.0,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Free State,2,1,1,0,178.0,89.0,89.0,50.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Gauteng,10,9,1,0,1468.5,1379.5,89.0,93.94
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,KwaZulu-Natal,5,5,0,0,667.5,667.5,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Mpumalanga,2,2,0,0,89.0,89.0,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD003,Retail funeral,Funeral,Western Cape,8,5,2,1,845.5,634.12,211.38,75.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Eastern Cape,1,1,0,0,74.5,74.5,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Free State,3,2,1,0,335.25,298.0,37.25,88.89
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Gauteng,11,11,0,0,894.0,894.0,0.0,100.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,KwaZulu-Natal,4,3,0,1,335.25,325.94,9.31,97.22
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Limpopo,1,0,1,0,37.25,0.0,37.25,0.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Mpumalanga,2,1,1,0,186.25,37.25,149.0,20.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,North West,2,1,1,0,74.5,37.25,37.25,50.0
2025-07-01,PART002,Mzanzi Retail Fin.,PRD004,Family Funeral Plus,Funeral,Western Cape,2,2,0,0,149.0,149.0,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Eastern Cape,3,3,0,0,1049.4,1049.4,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Gauteng,14,14,0,0,4922.5,4922.5,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,KwaZulu-Natal,1,1,0,0,233.2,233.2,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Limpopo,2,2,0,0,978.45,978.45,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Mpumalanga,1,1,0,0,267.85,267.85,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,North West,1,1,0,0,481.25,481.25,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD005,Loan Protection,Credit Life,Western Cape,1,1,0,0,287.65,287.65,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Eastern Cape,2,2,0,0,2059.2,2059.2,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Free State,2,2,0,0,1890.24,1890.24,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Gauteng,3,3,0,0,1413.72,1413.72,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,KwaZulu-Natal,3,3,0,0,2610.96,2610.96,0.0,100.0
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Limpopo,2,1,1,0,1595.22,421.74,1173.48,26.44
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,North West,4,3,1,0,4107.18,3053.82,1053.36,74.35
2025-07-01,PART003,Lighthouse Loans,PRD006,Loan Protection Plus,Credit Life,Western Cape,2,2,0,0,1667.16,1667.16,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Eastern Cape,3,2,1,0,1514.1,688.45,825.65,45.47
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Free State,1,1,0,0,513.52,513.52,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Gauteng,15,14,1,0,8041.39,7281.4,759.99,90.55
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,KwaZulu-Natal,5,4,0,1,2400.02,2273.84,126.18,94.74
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Limpopo,2,2,0,0,1337.21,1337.21,0.0,100.0
2025-07-01,PART004,Khula Bank,PRD007,Bank Credit Protect,Credit Life,Mpumalanga,2,1,1,0,1421.0,779.1,641.9,54.83
