transaction_id,policy_id,premium_month,premium_due,premium_paid,payment_status,partner_id,partner_name,product_id,product_name,product_type,province,rejection_reason
TXN00000317,POL000046,2026-01-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000318,POL000046,2026-02-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000319,POL000046,2026-03-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000320,POL000046,2026-04-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000321,POL000046,2026-05-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000322,POL000046,2026-06-01,135.84,135.84,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000406,POL000057,2026-04-01,277.75,277.75,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000407,POL000057,2026-05-01,277.75,277.75,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000408,POL000057,2026-06-01,277.75,277.75,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000409,POL000058,2025-08-01,869.24,869.24,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000410,POL000058,2025-09-01,869.24,869.24,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000411,POL000058,2025-10-01,869.24,869.24,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000412,POL000058,2025-11-01,869.24,651.93,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00000413,POL000058,2025-12-01,869.24,434.62,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00000414,POL000058,2026-01-01,869.24,869.24,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00000415,POL000058,2026-02-01,869.24,869.24,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001033,POL000140,2026-02-01,254.4,254.4,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001034,POL000140,2026-03-01,254.4,254.4,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001035,POL000140,2026-04-01,254.4,254.4,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001036,POL000140,2026-05-01,254.4,254.4,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001037,POL000140,2026-06-01,254.4,254.4,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00001766,POL000248,2025-09-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001767,POL000248,2025-10-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001768,POL000248,2025-11-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001769,POL000248,2025-12-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001770,POL000248,2026-01-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001771,POL000248,2026-02-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001772,POL000248,2026-03-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001773,POL000248,2026-04-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001774,POL000248,2026-05-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00001775,POL000248,2026-06-01,119.0,119.0,Paid,PART004,Khula Bank,PRD999,,,Free State,product_id not found in products_clean.csv
TXN00002157,POL000302,2026-03-01,79.33,79.33,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002158,POL000302,2026-04-01,79.33,79.33,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002159,POL000302,2026-05-01,79.33,79.33,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002160,POL000302,2026-06-01,79.33,0.0,Failed,,,,,,,policy_id not found in policies_clean.csv
TXN00002467,POL000347,2025-08-01,312.48,156.24,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00002468,POL000347,2025-09-01,312.48,312.48,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002469,POL000347,2025-10-01,312.48,312.48,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002470,POL000347,2025-11-01,312.48,312.48,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002471,POL000347,2025-12-01,312.48,312.48,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00002472,POL000347,2026-01-01,312.48,312.48,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003359,POL000461,2026-02-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003360,POL000461,2026-03-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003361,POL000461,2026-04-01,178.0,0.0,Failed,,,,,,,policy_id not found in policies_clean.csv
TXN00003362,POL000461,2026-05-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003363,POL000461,2026-06-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003490,POL000478,2026-03-01,148.32,148.32,Paid,PART001,Ubuntu Credit,PRD999,,,Mpumalanga,product_id not found in products_clean.csv
TXN00003491,POL000478,2026-04-01,148.32,148.32,Paid,PART001,Ubuntu Credit,PRD999,,,Mpumalanga,product_id not found in products_clean.csv
TXN00003492,POL000478,2026-05-01,148.32,148.32,Paid,PART001,Ubuntu Credit,PRD999,,,Mpumalanga,product_id not found in products_clean.csv
TXN00003493,POL000478,2026-06-01,148.32,148.32,Paid,PART001,Ubuntu Credit,PRD999,,,Mpumalanga,product_id not found in products_clean.csv
TXN00003538,POL000487,2025-08-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003539,POL000487,2025-09-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003540,POL000487,2025-10-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003541,POL000487,2025-11-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003542,POL000487,2025-12-01,178.0,89.0,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00003543,POL000487,2026-01-01,178.0,89.0,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00003544,POL000487,2026-02-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003545,POL000487,2026-03-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003546,POL000487,2026-04-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003547,POL000487,2026-05-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00003548,POL000487,2026-06-01,178.0,178.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004232,POL000576,2026-04-01,158.67,158.67,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004233,POL000576,2026-05-01,158.67,158.67,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004234,POL000576,2026-06-01,158.67,158.67,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004495,POL000613,2026-01-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004496,POL000613,2026-02-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004497,POL000613,2026-03-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004498,POL000613,2026-04-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004499,POL000613,2026-05-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004500,POL000613,2026-06-01,119.0,119.0,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004771,POL000650,2026-01-01,235.2,235.2,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004772,POL000650,2026-02-01,235.2,235.2,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004773,POL000650,2026-03-01,235.2,235.2,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004774,POL000650,2026-04-01,235.2,117.6,Partial,,,,,,,policy_id not found in policies_clean.csv
TXN00004775,POL000650,2026-05-01,235.2,235.2,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004776,POL000650,2026-06-01,235.2,235.2,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00004975,POL000675,2026-03-01,37.25,37.25,Paid,PART002,Mzanzi Retail Fin.,PRD999,,,North West,product_id not found in products_clean.csv
TXN00004976,POL000675,2026-04-01,37.25,37.25,Paid,PART002,Mzanzi Retail Fin.,PRD999,,,North West,product_id not found in products_clean.csv
TXN00004977,POL000675,2026-05-01,37.25,37.25,Paid,PART002,Mzanzi Retail Fin.,PRD999,,,North West,product_id not found in products_clean.csv
TXN00004978,POL000675,2026-06-01,37.25,37.25,Paid,PART002,Mzanzi Retail Fin.,PRD999,,,North West,product_id not found in products_clean.csv
TXN00006086,POL000836,2025-12-01,685.44,685.44,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00006087,POL000836,2026-01-01,685.44,685.44,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00006088,POL000836,2026-02-01,685.44,685.44,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00006089,POL000836,2026-03-01,685.44,0.0,Failed,,,,,,,policy_id not found in policies_clean.csv
TXN00006090,POL000836,2026-04-01,685.44,685.44,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00006091,POL000836,2026-05-01,685.44,685.44,Paid,,,,,,,policy_id not found in policies_clean.csv
TXN00006092,POL000836,2026-06-01,685.44,0.0,Failed,,,,,,,policy_id not found in policies_clean.csv
