transaction_id,policy_id,premium_month,premium_due,premium_paid,payment_status,payment_date,source_file,load_timestamp,rejection_reason
TXN00000276,,2026-02-01,39.67,39.67,Paid,2026-02-08,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00002007,POL000280,2026-03-01,493.92,493.92,Paid_Ok,2026-03-06,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00002492,POL000349,2026-06-01,133.5,133.5,Paid_Ok,2026-06-03,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00003365,POL000462,2026-04-01,1238.82,-1238.82,Paid,2026-04-02,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00003839,,2026-03-01,747.95,747.95,Paid,2026-03-04,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00004365,POL000595,2026-03-01,741.65,-741.65,Paid,2026-03-07,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00004533,POL000618,2026-03-01,348.15,348.15,Paid_Ok,2026-03-08,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00004580,POL000625,2025-11-01,119.0,119.0,Paid_Ok,2025-11-07,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00005180,POL000705,2026-01-01,111.75,-111.75,Paid,2026-01-02,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00005486,POL000753,2025-11-01,581.7,581.7,Paid_Ok,2025-11-08,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00006237,POL000855,2025-10-01,831.6,831.6,Paid_Ok,2025-10-03,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00006589,POL000906,2025-11-01,816.2,-816.2,Paid,2025-11-08,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00006644,,2026-02-01,489.02,489.02,Paid,2026-02-04,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00006699,,2026-05-01,159.36,159.36,Paid,2026-05-04,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00006707,POL000921,2026-03-01,399.3,399.3,Paid_Ok,2026-03-04,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00007976,,2026-05-01,689.64,689.64,Paid,2026-05-09,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00008272,,2025-08-01,997.92,997.92,Paid,2025-08-04,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00008571,POL001181,2026-06-01,944.58,944.58,Paid_Ok,2026-06-04,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00010315,,2026-04-01,671.3,671.3,Paid,2026-04-08,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00010639,POL001472,2026-06-01,667.74,667.74,Paid_Ok,2026-06-08,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00011643,POL001609,2026-03-01,604.66,-604.66,Paid,2026-03-03,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00011823,,2026-05-01,673.32,673.32,Paid,2026-05-09,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00012149,,2026-06-01,316.82,316.82,Paid,2026-06-03,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00012324,POL001701,2025-10-01,821.1,821.1,Paid_Ok,2025-10-07,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00014552,POL002008,2025-07-01,345.1,345.1,Paid_Ok,2025-07-06,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00015165,POL002095,2025-12-01,820.75,-50.0,Failed,,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00015168,POL002095,2026-03-01,820.75,820.75,Paid_Ok,2026-03-04,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00015240,POL002104,2026-03-01,473.06,-473.06,Paid,2026-03-04,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00015294,,2025-12-01,133.5,133.5,Paid,2025-12-06,premiums.csv,2026-09-11 13:41:51,Missing Policy ID; 
TXN00015546,POL002148,2026-04-01,461.45,-461.45,Paid,2026-04-05,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00016134,POL002233,2026-05-01,584.22,292.11,Paid_Ok,2026-05-05,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00016166,POL002237,2026-05-01,803.6,-803.6,Paid,2026-05-05,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00016354,POL002266,2026-04-01,659.68,-659.68,Paid,2026-04-08,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00016694,POL002314,2026-02-01,736.47,736.47,Paid_Ok,2026-02-06,premiums.csv,2026-09-11 13:41:51,Invalid Payment Status; 
TXN00016701,POL002315,2026-06-01,479.6,-479.6,Paid,2026-06-03,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
TXN00017105,POL002377,2026-06-01,746.48,-746.48,Paid,2026-06-09,premiums.csv,2026-09-11 13:41:51,Negative Premium Paid; 
